tx_hash,tx_sent_time,tx_mined_time,latency,gas_used,block_num,block_time,num_tx_in_block
0x6b2e1a1b3d84cc1a445a85987b429696db9661dcce4ff661dff40363547a2a5c,1699975837,1699975843,6,86591,243,5,21
0xc0939826dec6dc14d51739a44856367c81b9ffe8a69708f53421fbe18ab1b548,1699975842,1699975848,6,52943,244,5,30
0xde6eb6b35d594c2e74435a9ca53e5a2f5455056b67a8ea6156ed4e45a5e16bd6,1699975842,1699975848,6,52871,244,5,30
0xfef1c8ab183fe52be3c1e7fcb5c9d446a77e298fcbc429295a599df65c013fc8,1699975842,1699975848,6,52895,244,5,30
0x3aafdfbed914d78f70ed1a8dcb9cbc5af4985d03e7e435372a66ce1e6fbfb116,1699975842,1699975848,6,52979,244,5,30
0xc8fa6c79e5103fdfafb8b36bac6554b2a59a2bb1f6816657127a17ef88925a9a,1699975842,1699975848,6,53015,244,5,30
0xb24284c1e0829480de9a6054ff0d00aa4be91c7530feba7be2df5f7b86e444f9,1699975843,1699975848,5,52967,244,5,30
0x370afc69840835321deecffd08bc0bd7e334b8d55441df4565c87c5d79cde19b,1699975843,1699975848,5,52967,244,5,30
0x66d07a5e577c6f78b1242d5e0cb6a21183413f3efbba330c883b82a90954ae77,1699975843,1699975848,5,52919,244,5,30
0xa7feab57e6ca82c73e272e64a1fe299b8f5c3de06f1d7736bf0214e8121f6ee6,1699975843,1699975848,5,61403,244,5,30
0x73de5b9438c091bc782e119bd86d851c79d373dbeaa7afdcbe909ab63730a419,1699975843,1699975848,5,61343,244,5,30
0xe21006db07fe7a6a5c7bd63937772f738658db843cbdc0ea9f9a1c73e85feb5a,1699975843,1699975848,5,52979,244,5,30
0x55066236bb45dc4ac7d3e089b1a66b1d52eb41955e9904af8eb345a07651b126,1699975843,1699975848,5,52967,244,5,30
0x1a56766aa656a6e2db16627cda20975aa235dfde10819f2ee2f99d92e9cc1a5e,1699975843,1699975848,5,52991,244,5,30
0x7d48c8d1b09b777b6fb10e7525d9be4ba7c91d8a294401932b3ce7a88fe8c334,1699975843,1699975848,5,53027,244,5,30
0x9d0a50bb810f64d20a9e672785760881d5feac876b18f76fa718c1dc272d655f,1699975843,1699975848,5,52979,244,5,30
0xcd1365fa0a448927fe9dbe9108b227d5d06e56a1b7d150eb08136833ee6ec44b,1699975843,1699975848,5,52979,244,5,30
0xb95f9cadf688378c5f4170d39105ca1565115f846809419f66246173346dbdda,1699975843,1699975848,5,52991,244,5,30
0xee47ec2b0f6f94caaeeb7c4328832a0eaff260c91c36631d2168f350cf8c3d89,1699975843,1699975848,5,52919,244,5,30
0xb07598f731879797b774f4b4637593e8a9177479430f2d61da931830b28e62ad,1699975843,1699975848,5,52907,244,5,30
0xda9e1cc6003e665f427169a319f896bdf9a5cc9e66487eb431c8af8fb2dfa4d4,1699975843,1699975848,5,52991,244,5,30
0xa26519f8339e88938bbe80eeb6d05767f9d167b641d9d8102e488a6f82bc42c0,1699975844,1699975848,4,53027,244,5,30
0x6f6480ede75a99b90468db3e9136c113f133d20fb56174913b1bde66a010fa05,1699975844,1699975848,4,61391,244,5,30
0x137a7b219477151b7a69e2bb875d359bdb37986e3e959a85af421385ace7838e,1699975844,1699975848,4,61379,244,5,30
0x7172d6a742d193a204ac47376e4d06237cde745d2b86a6c7c02722b1485ffb6a,1699975844,1699975848,4,86603,244,5,30
0x91b7f827f76f6d888d320cae987b49a983372a577d63af5f83ec811df3d1dea7,1699975844,1699975848,4,52883,244,5,30
0x904854c0710d981e518ceb415a82d5c5b6365d45be9972561dc33f0b7f64b328,1699975844,1699975848,4,86615,244,5,30
0x89b5dd58449c7abc5b01faa3afb077412a75b4c49f009395667ebfcab57b7d43,1699975844,1699975848,4,53039,244,5,30
0xa59c37eb870bcee03e1d8ad31b9614f70fc67d4ccbccd81988556a840b31ee24,1699975844,1699975848,4,86591,244,5,30
0x3b3f1ed39ca3573b7737dd033c8229cb32fb8feea212f934f9d0de9ceb1158bd,1699975844,1699975848,4,86603,244,5,30
0xb6d986ba2f9c77bf9acf341af5d48e8ca94e5d3e9579fb90ed2db948a3b5fe68,1699975849,1699975853,4,52943,245,5,22
0xb03aeaa7b12014abe3ba57998cd2533891321f14106bcbb8b4fc183f9c17eeec,1699975849,1699975853,4,52871,245,5,22
0x6f32f800672904e0faddb3aedd9fd5f2860514ca363e4fefe5915e8dcdcfefbf,1699975849,1699975853,4,52895,245,5,22
0x8e5575f55a3397982389441fac22b84f608f23aec31d8d0b95f713db6be3ceeb,1699975850,1699975853,3,52979,245,5,22
0x220c6fda3b62c18ca2acd7d0665e893cd00d897a373c4c208904bdb84e48867b,1699975850,1699975853,3,53015,245,5,22
0x00b1856bc7e7c114b0b9e186c47fab165bba7213981dce993a02e72968460a4f,1699975850,1699975853,3,52967,245,5,22
0x9e11c2ebd2d7b2709b3dfd651d8e376be151d9b83c48d843f106d0d3c333096e,1699975850,1699975853,3,52967,245,5,22
0xc159f0acd74310758320706a3581ccf5e2933416ca0cfeeb66493e6864efd5f8,1699975850,1699975853,3,52919,245,5,22
0x072a88aa81b673ed7cbfd25cd211e3070bc7a00fe0b94f7c6e231f9a75cf7fcd,1699975850,1699975853,3,61403,245,5,22
0x5728e3a690b05814f2a45d6566ad94ce8df7ba5d9ccdfc5794e1404d0d32e537,1699975850,1699975853,3,61343,245,5,22
0x4abbce73edd16f6db6e6b6ce8891c7a25638d6d5b601a0aad53e36c403fcf383,1699975850,1699975853,3,52979,245,5,22
0xba13ae650cc5b866106c282d4e8b1235fb2ce247903b391862d4e7fedef2cee8,1699975850,1699975853,3,52967,245,5,22
0x92c095279f1d2d5ae0fbf6030c499c974c333a5314b16c4425adb5f120a82b0f,1699975850,1699975853,3,52991,245,5,22
0x33f00142d266f60af91edf1d7c617e6137de9f562174440412104ee6769272f0,1699975850,1699975853,3,53027,245,5,22
0x15efdb31d4a5c4904f80ac5ea4b3895de64af963a3e8f34e5c3f6b296e501da4,1699975850,1699975853,3,52979,245,5,22
0xa6a338b80191673acbbd680103565c09882d101c2ea322c321555d69430b061a,1699975850,1699975853,3,52979,245,5,22
0x4836c057807f27cad022fed18fb209fd47ae4032a8c572a8dd8c97301a4fde57,1699975851,1699975853,2,52991,245,5,22
0x601ef2faa18a0a63a55724ee218317933a434f11b1f0737451627771a06fdf6e,1699975851,1699975853,2,52919,245,5,22
0xe4d194a9fcee456bc45ab4a3f2bdcabd213865e65f29a2a2340e62d4e0030e4a,1699975851,1699975853,2,52907,245,5,22
0xcd80d9dff1c7dce6f2d1893adcb8d161a7243e4f4a54235a1bbe4eba6c037aea,1699975851,1699975853,2,52991,245,5,22
0xcdb232808f5d2eb087347cdff5ec1a1188a0d5905e6fdf25b8d8f995b1899a4b,1699975851,1699975858,7,53027,246,5,12
0xa4fa6e3c81a69dce6414b4e08049ca5ea27ad4df62aa81afa74ba0cda67bdf0a,1699975851,1699975858,7,61391,246,5,12
0x26647e630607326b2e30d63945d12fc49a3ef4146dfee5e7aa213ce84901cbd8,1699975851,1699975858,7,61379,246,5,12
0x77f22c9e71935595e0f5860dfab3ebcfc8eebf555a69be4a84453b4e671ce0d1,1699975851,1699975858,7,86603,246,5,12
0xd08a67094a529d03fae04f0b3eb5df6e3b7c691d00c91514ce50d6f0a3d8c61b,1699975851,1699975858,7,52883,246,5,12
0x47ba60f7c5d303b8699abd272a7fe8f67839e7db485c85f1e4dc7e6835ec0bbd,1699975851,1699975858,7,86615,246,5,12
0x879100e408bb8e51195dfd4ecf97e851d0fc5515ed6002f01d394b09d6ad625c,1699975851,1699975858,7,53039,246,5,12
0x31f269583f9a658e93ab5c0e6989d7a191ff19a14b52aca2c250113ca9a2aeb2,1699975851,1699975858,7,86591,246,5,12
0xa94935af15b8107d54a6e731439de49d258405ca23a74a383f378a6f8446c0e5,1699975852,1699975858,6,86603,246,5,12
0x473928840c1a4c41789f021927bebb3db6ab99115dd04c83603ce92ca948234f,1699975857,1699975863,6,52943,247,5,30
0x7cce9bf464e09560176e5ee0fffe2414da5c90556827c7a428bf919ba6e097d5,1699975857,1699975863,6,52871,247,5,30
0x27a833c6cbbe6371dc2955aec8e853ecfbd00e802be519e72cacf624325a2f7e,1699975857,1699975863,6,52895,247,5,30
0xac076cda6f17aaa18b3c7171de02c6ef543a4dd9e375dbdc44d6e62a862b2e2a,1699975857,1699975863,6,52979,247,5,30
0x502db22cbda94f1ae806182fdc351e9159b4244a56e7fd39ea0070324b92bcb2,1699975858,1699975863,5,53015,247,5,30
0x7748f4762437c675362529fe2154eeebf1d50eac42cc70e2559f9335091a0e2d,1699975858,1699975863,5,52967,247,5,30
0xfe6f45cdd8218c37c84cdb933c26f260c40b2fa89d79c90ee7df113b1e59f3b4,1699975858,1699975863,5,52967,247,5,30
0xca967dec243625d9600da50401498e8a6bc9fb97ebcda14d5d038cfce7625f71,1699975858,1699975863,5,52919,247,5,30
0xcf93d82c5401bb45e051ea102924832e3d00b2ab7cd8d12000798e8cec852512,1699975858,1699975863,5,61403,247,5,30
0x7539697c7c11ac06498d6e81d2b9879babeb4a4b3cd5be7611fd26e224625e0f,1699975858,1699975863,5,61343,247,5,30
0x997a94801dc79c903d4947ed1181ac67022ffcf8d77d96a697e1b898bf40acd3,1699975858,1699975863,5,52979,247,5,30
0x75129c89c4149509ee64036fd6509ccada62e19ee3ae36a6fc9a7f882420fbd6,1699975858,1699975863,5,52967,247,5,30
0x69829ba4ff200568a07d2bc28932e8b31dff33429f4aa3d1e64b11c5650cd1fd,1699975858,1699975863,5,52991,247,5,30
0x9ae177749e618322cb88202bfc67f06ac5d3ab8d0bf8d098587d02a124a1031b,1699975858,1699975863,5,53027,247,5,30
0x6196cf2b239fe454de920eaee55d4e4221a96d550c63c8a05e86ef174685bf24,1699975858,1699975863,5,52979,247,5,30
0xfaac274341e4d40ef6ffccb3cc7e4694604411e65aadda78239d7a6ccc1771e3,1699975858,1699975863,5,52979,247,5,30
0xe7d46c7e452211b231b30d63305f6298fa7273346ae0a8c34684a488257f86f0,1699975859,1699975863,4,52991,247,5,30
0x60a95aeb78a8388065019ef6a7a0d1ad9eda1183ea347833ac2d7c51d7183aba,1699975859,1699975863,4,52919,247,5,30
0xf113ff0fda8a7f8d6e97ecd2de0f04e4023e5f2f26a02e491a1acd350235bcf0,1699975859,1699975863,4,52907,247,5,30
0x35d76f09e4f0f5b7741e1a100f47a4e6504fb831ec3844aa4c9afa94f332cef3,1699975859,1699975863,4,52991,247,5,30
0x3519ac8973038d545df3a361d766f073df8967d2492b79f5eb76a8bd5fb8db78,1699975859,1699975863,4,53027,247,5,30
0xfca7ea29ee9c69a52e417461f1bfc9fd0891d197f56cf0779723f74799d4dd11,1699975859,1699975863,4,61391,247,5,30
0xb506377667ee297c88a1221a981606a5d6455a274afc87e320b1fbb3a72f245c,1699975859,1699975863,4,61379,247,5,30
0x443227112d5db0e57895bb7a5d2bcbf7ad80ba24e2f1e9aeaf7fc2d13632782a,1699975859,1699975863,4,86591,247,5,30
0xf8c9480327f15af006930d60d56b862d3f46fd46389c162da67f9846d28f1554,1699975859,1699975863,4,52883,247,5,30
0x949b71979ffb8e51a3737c24abdfc63744b13958e44d1801f1176bfef7de9664,1699975859,1699975863,4,86603,247,5,30
0xc27f8847a133e15b1ce784fb863e12288554d4f0f3a1a8dc0b126cdb8fcb5123,1699975859,1699975863,4,53039,247,5,30
