tx_hash,tx_sent_time,tx_mined_time,latency,gas_used,block_num,block_time,num_tx_in_block
0x976532cf5fb88ddbd0a07aa0a18e91d4a2dbf18fd59f7f8009cf823bdb9d1b5e,1699976465,1699976468,3,61393,368,5,21
0x27f9997b6691ff11a97c9957b8b3ca3aeecb91cadb128f996e7b7c93b46eb14e,1699976467,1699976473,6,68285,369,5,30
0xf3147311721c617f22843efda160017e6e2c6bf1f061dd617c6c6303d323cc45,1699976471,1699976478,7,58603,370,5,3
0x81e93dbcc72fc88fb4e9834d1d007711ffe3b00e0e075e1c8e7b4fa132a2900b,1699976473,1699976478,5,101249,370,5,3
0x33d679d11645082e5e5df9c08483a9a25786f174facd949d6c75ca1e604ba6fa,1699976475,1699976478,3,64085,370,5,3
0x5bbb70b9c1e9afbdbfb5cbb41fe6d00b3176c3e9400c705bbbf22a9e1ee31a46,1699976480,1699976483,3,62803,371,5,30
0xbbe172139facad927b29dbbbc6da2155b58ec89842375c8f34deafb433fbc970,1699976482,1699976488,6,69695,372,5,14
0x1feae88a9776fbc5ebca19b1227d1ece4a4f0a664fa6b61101f3bd8cd7919c72,1699976483,1699976488,5,103990,372,5,14
0x6a71fc4f18d01ba12b16585df8d10349026c78a6e3374227434bf63ab8017fc9,1699976488,1699976493,5,62803,373,5,19
0xd2827a03f92582a34c30e4930c9bcd44b94ec34784456d7953980b9de82ffc10,1699976490,1699976493,3,69695,373,5,19
0xabe0139ad60e7c60e2f824cc09ee2e3616f00954b0348a7fc0c95305703b151f,1699976492,1699976498,6,103990,374,5,30
0x9f5fb06a7203aaaaf9736a6bc463ce3f4705c11f74c972abd1bf1ad2b08e8a93,1699976496,1699976503,7,62803,375,5,7
0xcdbe0d84ce806694327f22a5d072a816925918a9c63234ca0376c4f26a734b13,1699976498,1699976503,5,61393,375,5,7
0x296ad2890c8704e47745afb9e205b8c1c2fe85149847e6d4300b483d6c7bc1b3,1699976500,1699976503,3,68285,375,5,7
